Arthropoda,belongs_to,Animalia
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Arthropoda,is_type,Phylum
Ascidiacea,belongs_to,Chordata
Ascidiacea,belongs_to,Chordata
Ascidiacea,belongs_to,Chordata
Ascidiacea,belongs_to,Chordata
Ascidiacea,is_type,Class
Ascidiacea,is_type,Class
Ascidiacea,is_type,Class
Ascidiacea,is_type,Class
Asclepiadaceae,belongs_to,Gentianales
Asclepiadaceae,belongs_to,Gentianales
Asclepiadaceae,belongs_to,Gentianales
Asclepiadaceae,is_type,Family
Asclepiadaceae,is_type,Family
Asclepiadaceae,is_type,Family
Asclepias syriaca,belongs_to,Asclepiadaceae
Asclepias syriaca,is_type,Species
Asclepias tuberosa,belongs_to,Asclepiadaceae
Asclepias tuberosa,is_type,Species
Ascomycota,belongs_to,Fungi
Ascomycota,belongs_to,Fungi
Ascomycota,belongs_to,Fungi
Ascomycota,belongs_to,Fungi
Ascomycota,belongs_to,Fungi
Ascomycota,belongs_to,Fungi
Ascomycota,is_type,Phylum
Ascomycota,is_type,Phylum
Ascomycota,is_type,Phylum
Ascomycota,is_type,Phylum
Ascomycota,is_type,Phylum
